title,dod,name,born,awards,Occupation,Filmography
Sonali Bendre,,सोनाली बेंद्रे,1/1/1975,,,
Sonali Kulkarni,,,3/11/1974,,,
Sonia Agarwal,,,28-03-1982,,,
Sonia Deepti,,Sonia Deepti,29-07-1984,,Actress,
Sonu Sood,,,,,"Actor,Model (person)",
Soori (actor),,,27-08-1977,,,
Soundarya,17-04-2004,"ಸೌಮ್ಯ,Sowmya",18-07-1976,,,
Sri Divya,,,,,,
Sridevi,,Shree Amma Yanger Ayyapan,13-08-1963,,"Film actress,Film producer",
Sridevi Vijaykumar,,,29-10-1986,,Film actress,
Srikanth (actor),,,,,Film actor,
Sriman (actor),,K. Srinivasa Reddy,,,,
Srinath (actor),,,12/5/1968,,"Film actor,Film director",
Sripriya,,,,,,
Srividya,19-10-2006,,24-07-1953,,,
Sriya Reddy,,Sriya Reddy,3/4/1983,,,
Suchindra Bali,,,,,Actor,
Sudha Chandran,,,21-09-1964,,,
Suhani Kalita,,Suhani Kalita,25-12-1991,,,
Suhasini Maniratnam,,Suhasini Charuhasan,15-08-1961,,,
Sujatha (actress),6/4/2011,,10/12/1952,,,
Sukanya (actress),,Sukanya,8/7/1969,,,
Sukumari,26-03-2013,,6/10/1940,,,
Sulakshana (actress),,,,,,
Sumalatha,,,27-08-1963,,Actress,
Suman (actor),,Suman Talwar,28-08-1959,,Actor,
Suman Ranganathan,,,26-07-1974,,,
Suman Setty,,Suman Setty,1/5/1981,,,
Sumathi (actress),,,19-08-1964,,Film actress,
Sunaina,,,,,,
Sundar C.,,Vinayaga Sundara Vadivel Chidambaram Pillai,21-01-1968,,,
Sunder Ramu,,,,,,
Suresh (actor),,Mysore Seshaiah Suresh Babu,26-08-1964,,Actor,
Suriya,,Saravanan Sivakumar,23-07-1975,,,
Surya,,,,,,
Surya,,,,,,
Sushmita Sen,,,19-11-1975,,,
Suvalakshmi,,Suvalakshmi Munshi,19-08-1977,,Actress,
Swarnamalya,,Swarnamalya Ganesh,22-04-1981,,,
Swathi (actress),,,,,,
Swathi Reddy,,Swathi Reddy,9/4/1987,,"Actress,Television presenter,Playback singer,Voice actor",
T. Rajendar,,,9/5/1955,,"Film director,Actor,Songwriter,Screenwriter,Musician,Film producer,Cinematographer,Playback singer,Politician",
T. S. B. K. Moulee,,,,,,
Taapsee Pannu,,Taapsee Pannu,1/8/1987,,Model (person),
Tabu (actress),,Tabassum Hashmi,4/11/1971,,Actress,
Tamannaah,,Tamanna Bhatia,21-12-1989,,"Actress,Model (person)",
Tanikella Bharani,,,14-07-1954,,,
Tanishaa Mukerji,,,,,,
Tanu Roy,,Tanu Roy,,,,
Tanushree Dutta,,,19-03-1984,,"Actress,Model (person)",
Tarun Kumar,,Tarun Kumar Savvana,8/1/1983,,,
Tejashree,,Sonali Jaikumar Khele,,,,
Thangar Bachan,,Thangaraj,,,Cinematographer,
Tharika,,Nisha,,,Actress,
Trisha (actress),,,4/5/1983,,,
Uday Kiran,5/1/2014,Vajpeyajula Uday Kiran,26-06-1980,,,
Udhaya (actor),,,,,Actor,
Udhayanidhi Stalin,,Udhayanidhi Stalin,27-11-1977,,,
Uma (actress),,Uma Shankari Rajendra Babu,,,Film actor,
Urmila Matondkar,,,4/2/1974,,Television presenter,
Urvashi (actress),,Kavitha Ranjini,,,,
V. N. Janaki,19-05-1996,,,,,
Vadivelu,,,10/10/1960,,,
Vaibhav Reddy,,,7/1/1980,,,
Vaiyapuri,,Ramakrishnan,,,,
Vasundhara Das,,,,,,
Vasundhara Kashyap,,Vasundhara Chitralekha,,,,
Veda Sastry,,,,,,
Vedhicka,,Vedhika Pooja Kumar,21-02-1988,,,
Veera Bahu,,,,,,
Vega Tamotia,,,7/5/1985,,,
Venkat Prabhu,,Venkat Kumar Gangai Amaren,7/11/1975,,,
Vignesh (actor),,Raja,9/4/1968,,,
Vijay (actor),,Joseph Vijay Chandrasekhar,22-06-1974,,"Film actor,Playback singer,Film producer,Philanthropist",
Vijay Antony,,,24-07-1975,,,
Vijay Sethupathi,,Vijaya Gurunatha Sethupathi,16-01-1978,,"Actor,Film producer,Screenwriter,Playback singer,Lyricist",
Vijay Vasanth,,Vijayakumar Vasanthakumar,20-05-1983,,,
Vijayakanth,,Vijayaraj,25-08-1952,,,
Vijayakumar (actor),,Panchaksharam Rangasamy,,,,
Vijayalakshmi (Tamil actress),,Vijayalakshmi,,,,
Vijayashanti,,,24-06-1966,,,
Vikram (actor),,Kennedy Vinod Raj,17-04-1966,,"Film actor,Film producer,Playback singer,Voice Actor",
Vikram Prabhu,,,,,,
Vikranth,,,,,,
Vimal,,,,,Actor,
Vimala Raman,,,,,,
Vinay Rai,,,18-09-1979,,"Film actor,Model (person)",
Vinaya Prasad,,,,,,
Vindhya (actress),,,,,Film actor,
Vineeth,,Vineeth Radhakrishnan,23-08-1967,,,
Vinoth Kishan,,,,,Film actor,
Vishal (actor),,Vishal Krishna Reddy,,,,
Vishnu (actor),,Vishal Kudawla,17-07-1984,,Actor,
Vivek (actor),,,,,"Film actor,Playback singer,Comedian,Social Activist",
VTV Ganesh,,Ganesh Janardhanan,,,"Film actor,Film producer",
Vyjayanthimala,,Vyjayanthimala Raman,13-08-1936,,"Indian classical dance,Carnatic music,Professional golfer",
Y. G. Mahendra,,Y. Gee. Mahendran,9/1/1950,,,
Yogi (actor),,Yogi,,,,
Yugi Sethu,,,,,Show Host (page does not exist),
