title,dod,name,born,awards,Occupation,Filmography
Gowri Munjal,,Gowri Munjal,6/6/1985,,,
Hamsavardhan,,Hamsavardhan,,,Actor,
Hansika Motwani,,,9/8/1991,,,
Hariharan (singer),,,,,Playback singer,
Haripriya,,Shruthi C,,,,
Harish Raghavendra,,,7/1/1976,,Playback singer,
Harish Uthaman,,,5/4/1982,,Film actor,
Hazel Keech,,Rose Dawn,,,"Model (person),Actress",
Heera Rajagopal,,Heera Rajagopal,29-12-1971,,"Actress,Philanthropist,Blog,Activist",
Ileana D'Cruz,,,1/11/1987,,"Actress,Model (person)",
Iniya,,Shruti Sawant,,,,
Isha Koppikar,,Isha Koppikar,19-09-1976,,,
Ishita Sharma,,Ishita Sharma,2/12/1992,,,
Iyshwarya Rajesh,,,10/1/1990,,,
J. K. Rithesh,,Mugavai Kumar,,,,
J. P. Chandrababu,8/3/1974,,5/8/1927,,"Comedian,Actor,Film director,Playback singer,Singer,Dancer",
Jackie Shroff,,Jaikishen Kakubhai Shroff,,,,
Jagan,,Jagan Purushottam,,,,
Jagapati Babu,,Veeramachaneni Jagapati Rao Chowdary,12/2/1962,,,
Jai (actor),,,6/4/1985,,,
Jai Akash,,Satish Nageswaran,,,,
Jaishankar,3/6/2000,Subramaniam Shankar,12/7/1938,,,
Janagaraj (actor),,Janagaraj,,,,
Janani Iyer,,Janani Iyer,,,,
Jaya Prada,,Lalita Rani,3/4/1962,,,
Jayabharathi,,Lakshmi Bharathi,,,,
Jayachitra,,Lakshmi,9/9/1957,,,
Jayalalithaa,,Komalavalli,24-02-1948,,,
Jayam Ravi,,Ravi Mohan,10/9/1980,,,
Jayamalini,,Alivelu Manga,22-12-1958,,,
Jayanthi (actress),,Kamala Kumari,,,"Film actor,Film Producer,Playback singer",
Jayaram,,Jayaram Subramaniam,10/12/1965,,,
Jayasudha,,Sujatha,17-12-1958,,,
Jayasurya,,Jayan Maradu,30-08-1978,,,
Jeevan,,,,,,
Jiiva,,Amar,4/1/1984,,,
Jithan Ramesh,,Ramesh Choudary,23-10-1982,,"Film actor,Film producer",
John Shea,,John Victor Shea III,14-04-1949,,,
John Vijay,,,20-11-1976,,Actor,
Jomol,,"Joma John, stage name Jomol",4/10/1982,,Film actress,
Juhi Chawla,,,13-11-1967,,,
Jyothi Krishna,,Jyothi Krishna,,,Film actor,
Jyothika,,Jyothika Sadanah,18-10-1978,,Film actress,
Jyothirmayi,,,,,,
K. Bhagyaraj,,Krishnasaamy Bhagyaraj,7/1/1953,,Music composer,
K. P. A. C. Lalitha,,Maheshwari Amma,,,,
K. R. Vijaya,,,,,,
K. S. Ravikumar,,K. S. Ravikumar,30-05-1958,,,
Kajal Aggarwal,,,19-06-1985,,,
Kajol,,Kajol Mukherjee,5/8/1974,,,
Kalabhavan Mani,,Mani Raman,1/1/1971,,"Film actor,Playback singer,Music director",
Kalaranjini,,,,,,
Kalpana (Malayalam actress),,Kalpana Ranjani,,,,
Kamal Haasan,,,7/11/1954,,Playback singer,
Kamalinee Mukherjee,,,4/3/1980,,Film actress,
Kamna Jethmalani,,,10/12/1985,,"Actress,Model (person)",
Kanaka (actress),,Kanaka Mahalakshmi,14-07-1973,,,
Kanchana (actress),,Vasundhara Devi,16-08-1939,,,
Kangana Ranaut,,,23-03-1987,,,
Kanika (actress),,Divya Venkatasubramaniam,3/7/1982,,TV anchor,
Karan (actor),,Raghu Kesavan,19-08-1969,,,
Karisma Kapoor,,Karishma Kapoor,25-06-1974,,"Actress,Businesswoman",
Karpaga,,,,,,
Karthi,,Karthik Sivakumar,25-05-1977,,,
Karthik (actor),,Murali Karthikeyan,13-09-1960,,"Film actor,Playback singer",
Karthik Kumar,,,21-11-1977,,,
Karthika (actress),,Sunantha,,,Actress,
Karthika Adaikalam,,Karthika Adaikalam,,,,
Karthika Mathew,,Lidiya Jacob,,,,
Karunas,,Karunanidhi,21-02-1970,,,
Karunas,,Karunanidhi,21-02-1970,,,
Kasthuri (actress),,,,,Film actress,
Kausalya (actress),,Kavitha Shivashankar,30-12-1979,,,
Kaveri,,,,,,
Kavya Madhavan,,Kavya Madhavan,19-09-1984,,,
Keerthi Chawla,,Keerthi Chawla,,,,
Keerthi Reddy,,,,,,
Keerthy Suresh,,,,,,
Kelly Dorji,,,,,"Actor,Model (person)",
Kiran Rathod,,,11/1/1981,,,
Kirat Bhattal,,,,,,
Kishore (actor),,,14-08-1974,,,
Komal Sharma,,,,,,
Kota Srinivasa Rao,,,,,,
Kovai Sarala,,,7/4/1962,,,
Kreshna,,Krishna Kulasekaran,,,Actor,
Krishna Kumar (actor),,,,,"News presenter,Film actor",
