"","title","dod","name","born","awards","Occupation","Filmography"
"166","K. P. A. C. Lalitha","","Maheshwari Amma","",Na,"","Thalayanamanthram,T._P._Balagopalan_M.A.,Madampi,Abhayam_Thedi,Rashtram,Aayirathil_Oruvan_(2009_film),Khaddama,Peruvazhiyambalam,Kodiyettam,Aadyathe_Kanmani,Ammayane_Sathyam,Shubhayathra,Kanalkkattu,Kudumbapuranam,Sasneham,Manichitrathazhu,The_Journey_(2004_film),Godfather_(1991_film),Anubhavangal_Paalichakal,Vellimoonga,Nidra_(2012_film),Chandrettan_Evideya"
"167","K. R. Vijaya","","","",Na,"","Kanni_Thaai,Panam_Padaithavan,Thazhampoo,Thozhilali,Aayirathil_Oruthi,Kurathi_Magan,Thirumal_Perumai,Junior_Senior_(2002_film),Karunai_Ullam_(1978_film),Raja_Rishi,Thaye_Neeye_Thunai,Kalthoon,Rishi_Moolam,Tharaasu,Akka_(1976_film),Anjatha_Nenjangal,Bala_Nagamma_(1981_film),Raman_Ethanai_Ramanadi,Paramanandayya_Sishyula_Katha,Vivasayee,Iru_Malargal,Anbu_Kattalai,Naan_Aanaiyittal,Ramu_(1966_film),Saadhanai,Odayil_Ninnu_(film),Alolam,Anveshichu_Kandethiyilla,Sheelavathi,Server_Sundaram,Nalla_Neram,Thai_Moogambikai,Sutradharulu,Anarkali_(1966_film),Aanazhagan,Kai_Koduttha_Dheivam,Sri_Krishna_Pandaveeyam,Saraswati_Sabatham,Sorgam,Gruhapravesam,Thanga_Pathakkam,Ekaveera,Naan_Yen_Pirandhen,Viswanatha_Nayakudu,Iddaru_Iddare,Ethiroli,Kaalam_(1981_film),Sathya_Sundharam,Vivasaayi_Magan,Mareyada_Manikya,Oorukku_Oru_Pillai,Dharma_Raja_(film),General_Chakravarthi,Krishnan_Vandhaan,Vamsa_Vilakku,Nenjirukkum_Varai_(1967_film),Thirudan,Devi_Dharisanam,Kanne_Pappa,Navagraha_Nayagi,Simma_Soppanam,Paaladai,Thaaye_Unakkaga,Chinnadantha_Maga,Selvam_(1966_film),Anweshichu_Kandethiyilla,Thimingalam,Justice_Raja,Hitler_Umanath,Pudhu_Yugam,Neethibathi,Vellam,Oorum_Uravum,Tharangam_(film),Banashankari_(film),Thangai,Aadyakiranangal,Pranaya_Nilavu,Padikkadha_Pannaiyar,Ammayenna_Sthree,Kodungallooramma,Aayudham_(1982_film),Miruthanga_Chakravarthi,Mupperum_Deviyar,Thangaikkaaga,Thavapudhalavan,Irattimadhuram,Talli_Kodukula_Anubandham"
"168","K. S. Ravikumar","","K. S. Ravikumar","30-05-1958",Na,"","Muthukulikka_Vaariyala,Pondatti_Rajyam,Purusha_Lakshanam,Suriyan_Chandiran"
"169","Kajal Aggarwal","","","19-06-1985",Na,"","Chandamama_(2007_film),Modhi_Vilayadu,Naayak,Aatadista,Temper_(film),Baadshah_(2013_film),Govindudu_Andarivadele,Pourudu,Businessman_(film),Darling_(2010_film),Thuppakki,Maattrraan,Sarocharu,Saroja_(film),Jilla,Singham,Arya_2,Ganesh_Just_Ganesh,All_in_All_Azhagu_Raja,Brindavanam_(film),Lakshmi_Kalyanam_(2007_film),Maari_(film),Paayum_Puli_(2015_film)"
"170","Kajol","","Kajol Mukherjee","5/8/1974",Na,"","Kabhi_Khushi_Kabhie_Gham...,Ishq_(1997_film),Dilwale_Dulhania_Le_Jayenge,Dushman_(1998_film),Karan_Arjun,Pyaar_To_Hona_Hi_Tha,Dil_Kya_Kare,Fanaa_(film),Hameshaa,Yeh_Dillagi,Main_Hogaya_Tumhara,Baazigar,Koochie_Koochie_Hota_Hai,Toonpur_Ka_Super_Hero,We_Are_Family_(film),Gupt:_The_Hidden_Truth,Bekhudi,Kuch_Khatti_Kuch_Meethi,U_Me_Aur_Hum,Pyaar_Kiya_To_Darna_Kya_(1998_film),Bambai_Ka_Babu_(1996_film),Hum_Aapke_Dil_Mein_Rehte_Hain,Raju_Chacha,Hote_Hote_Pyar_Ho_Gaya,Dilwale_(2015_film)"
"171","Kalabhavan Mani","","Mani Raman","1/1/1971",Na,"Film actor,Playback singer,Music director","Natturajavu,Chinthamani_Kolacase,Modhi_Vilayadu,Red_Salute_(film),Olipporu,Kudumba_Vaarthakal,Oro_Viliyum_Kathorthu,Sethurama_Iyer_CBI,Mazhai,Bose_(film),Chotta_Mumbai,Aayirathil_Oruvan_(2009_film),One_Man_Show_(film),Vasanthiyum_Lakshmiyum_Pinne_Njaanum,Priyappetta_Nattukare,MLA_Mani:_Patham_Classum_Gusthiyum,Pudhiya_Geethai,Banda_Paramasivam,Dhosth_(2001_Malayalam_film),Singara_Chennai,Udhyanapalakan,Prabhuvinte_Makkal,Kadhal_Kisu_Kisu,Aalibabayum_Aarara_Kallanmarum,Achaneyanenikkishtam,Bamboo_Boys,Daivathinte_Makan,Kanmashi,Karumadikkuttan_(film),Lokanathan_IAS,Maanikyan,Malayali_Mamanu_Vanakkam,My_Dear_Karadi,Payum_Puli,Ponmudipuzhayorathu,Ravanan_(film),Valkkannadi,Varnakkazchchakal,Kisan_(film),Narasimham_(film),Chekavar_(film),Bachelor_Party_(2012_film),Narasimhudu,Summer_in_Bethlehem,Jithan,Pasa_Kiligal,Yugapurushan,Annarakkannanum_Thannalayathu,Black_Stallion_(film),Dilliwala_Rajakumaran,Kannezhuthi_Pottum_Thottu,Aazhakadal,Kalyanappittannu,Canvas_(2010_film),James_Bond_(1999_film),Rakshasa_Rajavu,Oru_Maravathoor_Kanavu,The_Guard_(2001_film),Kuththu,Anandabhadram,Katha_Parayum_Theruvoram,Shakespeare_M.A._Malayalam,The_Car_(1997_film),The_Filmstaar,Valiyangadi,Mayaponman,Vel_(film),Aandavan_(2008_film),Malayali_(film),Keralotsavam_2009,Nanma,Ee_Naadu_Innale_Vare,Panchapaandavar,Sevvel,Jayam_(2006_film),Bhaaratheeyam,Swarna_Kireedam,Ikkareyanente_Manasam,Kudamattam,Aksharam,Saamoohya_Paadam,Malsaram_(2004_film),Gajaraja_Manthram,Excuse_Me_Ethu_Collegila,Manthra_Mothiram,Naalamkettile_Nalla_Thampimar,Tourist_Home_(film),Abraham_&_Lincoln,Yathra_Chodikkathe"
"172","Kalaranjini","","","",Na,"","Ente_Mohangal_Poovaninju,Aasha_(1982_film),Aasha_(1983_film),Ambili_Ammavan_(film),Njan_Onnu_Parayatte,Raajavembaala,Attahaasam,Theere_Pratheekshikkathe,Vamban,Ithramathram_(1986_film),Jaithra_Yaathra"
"173","Kalpana (Malayalam actress)","","Kalpana Ranjani","",Na,"","Sathi_Leelavathi_(1995_film),Spirit_(2012_film),Anubhoothi,Kudumba_Vaarthakal,Aalibabayum_Aarara_Kallanmarum,Injakkadan_Mathai_&_Sons,Pokkuveyil,Mangala_Soothram,Ithu_Nalla_Thamasha,Paara_(film),American_Ammayi,Yagam_(1982_film),Kudumbakodathi,Choodatha_Pookal,Ithum_Oru_Jeevitham,Manthri_Kochamma,Ithu_Nalla_Thamasa,Anuragakottaram,Kashillatheyum_Jeevikkam,Nerkku_Nere,Punnaram,Kaathil_Oru_Kinnaram,Excuse_Me_Ethu_Collegila,Peter_Scott_(film),Arjunan_Pillayum_Anchu_Makkalum,Lavender_(2015_film)"
"174","Kamal Haasan","","","7/11/1954",Na,"Playback singer","Allauddinum_Albhutha_Vilakkum,Aval_Appadithan,Rama_Shama_Bhama,Unnaipol_Oruvan_(2009_film),16_Vayathinile,Vasool_Raja_MBBS,Dasavathaaram,Aadu_Puli_Attam_(1977_film),Aakali_Rajyam,Aanandham_Paramaanandham,Aayirathil_Oruthi,Agni_Pushpam,Amara_Prema,Anandha_Jodhi,Anbu_Thangai,Andha_Oru_Nimidam,Andharangam,Anthiveyilile_Ponnu,Appooppan,Aruthu,Chanakyan,Cinema_Paithiyam,Dekha_Pyar_Tumhara,Do_Dil_Diwane,Eeta,Ek_Nai_Paheli,Ellam_Inba_Mayyam,Geraftaar,Gnan_Ninne_Premikkunnu,Gumasthavin_Magal,Idhaya_Malar,Kaakki_Sattai,Kadamai_Kanniyam_Kattupaadu,Kadhal_Parisu,Kalaignan,Kalyanaraman_(1979_film),Kannum_Karalum,Kanyakumari_(film),Karishma_(1984_film),Kurathi_Magan,Maalai_Sooda_Vaa,Maanavan,Madanolsavam,Maharasan,Mangala_Vaathiyam,Mangamma_Sapatham_(1985_film),Manmadha_Leelai,Maria,_My_Darling_(1980_Kannada_film),Maria,_My_Darling_(1980_Tamil_film),Mattoru_Seetha,Melnaattu_Marumagal,Naam_Pirandha_Mann,Naanum_Oru_Thozhilali,Nammavar,Neela_Malargal,Neeya_(film),Nizhal_Nijamagiradhu,Oka_Radha_Iddaru_Krishnulu,Oru_Oodhappu_Kan_Simittugiradhu,Paadha_Kannikkai,Pagadai_Panirendu,Panathukkaga,Paruva_Kaalam,Pattampoochi,Pattikkaattu_Raja,Per_Sollum_Pillai,Ponni_(film),Punnagai_Mannan,Pyasa_Shaitan,Ram_Lakshman,Rani_Theni,Sakalakala_Vallavan,Sanam_Teri_Kasam,Sathi_Leelavathi_(1995_film),Sathya_(film),Sattam,Sattam_En_Kaiyil,Savaal,Sigappukkal_Mookkuthi,Soora_Samhaaram,Thaayillamal_Naan_Illai,Thangathile_Vairam,Then_Sindhudhe_Vaanam,Thoongadhey_Thambi_Thoongadhey,Ullasa_Paravaigal,Unarchigal,Unnal_Mudiyum_Thambi,Uruvangal_Maralam,Uyarndha_Ullam,Varumayin_Niram_Sivappu,Vayanadan_Thamban,Velankanni_Mathave,Vetri_Vizha,Vishnu_Vijayam,Vrutham,Yaadgaar_(1984_film),Yeh_Desh,Yeh_To_Kamaal_Ho_Gaya,Zara_Si_Zindagi,Moondram_Pirai,Idi_Katha_Kaadu,Vettaiyaadu_Vilaiyaadu_(2006_film),Nayakan_(1987_film),Thenali,Guru_(1980_film),Sagara_Sangamam,Swati_Mutyam,Oru_Kaidhiyin_Diary,Annai_Velankanni,Afsana_Do_Dilon_Ka,Dil_Ka_Sathi_Dil,Japanil_Kalyanaraman,Kadal_Meengal,Sankarlal,Sathiyam,Sigappu_Rojakkal,Panchathantiram,Hey_Ram,Manmadan_Ambu,Sommokadidi_Sokokadidi,Indian_(1996_film),Apoorva_Raagangal,Avvai_Shanmughi,Paarthaal_Pasi_Theerum,Singaravelan,Simla_Special,Mahanadi_(film),Sadma,Kaathala_Kaathala,Kalathur_Kannamma,Pammal_K._Sambandam,Raja_Paarvai,Pushpaka_Vimana_(film),Subha_Sankalpam,Alavudinum_Arbutha_Vilakkum,Michael_Madana_Kama_Rajan,Shubha_Sankalpam,Aval_Viswasthayayirunnu,Khabardar_(unreleased_film),Andagaadu,Gunaa,Papanasam_(film),Enakkul_Oruvan_(1984_film),Manidharil_Ithanai_Nirangala!"
"175","Kamalinee Mukherjee","","","4/3/1980",Na,"Film actress","Gamyam,Brahmanandam_Drama_Company,Police_Police,Gopi_Gopika_Godavari,Virodhi_(2011_film),Govindudu_Andarivadele,Style_(2006_film),Classmates_(2007_film),Aparajita_Tumi,Anand_(2004_film),Godavari_(film),Nagavalli_(film),Jalsa,Kadhalna_Summa_Illai"
"176","Kamna Jethmalani","","","10/12/1985",Na,"Actress,Model (person)","Rajadhi_Raja_(2009_film),Ugadi_(film),Idhaya_Thirudan,Toss_(2007_film),Kasethan_Kadavulada_(2011_film),Action_3D,Agraja,Ranam,Machakaaran,Kathi_Kantha_Rao,Bendu_Apparao_R.M.P"
"177","Kanaka (actress)","","Kanaka Mahalakshmi","14-07-1973",Na,"","Athisaya_Piravi,Amman_Kovil_Thiruvizha,Mudhal_Kural,Thaali_Kattiya_Raasa,Periya_Idathu_Pillai,Narasimham_(film),Kilipetchu_Ketkava,Vietnam_Colony,Golanthara_Vartha,Vellaiya_Thevan,Godfather_(1991_film),Kumbakarai_Thangaiah,Sakkarai_Devan,Thangamana_Raasa,Manthri_Kochamma,Periya_Veetu_Pannakkaran,Bhoopathi_(1997_film),Thalaimurai,Koyil_Kaalai,Purushan_Enakku_Arasan,Kusruthikaatu,Vardhakya_Puranam"
"178","Kanchana (actress)","","Vasundhara Devi","16-08-1939",Na,"","Johnny_(1980_film),Unarchigal,Kadhalikka_Neramillai,Ina_(film),Nanobba_Kalla,Samayada_Gombe,Preminchi_Choodu,Manushulu_Marali,Shanti_Nilayam,Sivandha_Mann,Motor_Sundaram_Pillai,Private_Master,Neeli_Saali,Pattuthoovaala,Devudu_Chesina_Manushulu,Manchi_Kutumbam,Parakkum_Paavai,Kalyana_Mandapam,Bama_Vijayam,Bhakta_Tukaram,Mahakavi_Kshetrayya,Dharma_Daata,Aatma_Gowravam,Natakala_Rayudu,Shri_Datta_Darshanam,Teen_Bahuraniyan,Veerabhimanyu,Naan_Yen_Pirandhen,Avan_Oru_Sarithiram,Nanna_Prathigne,Ananda_Bhairavi_(film),Thangai,Kodimalar,Vilaiyaattu_Pillai,Nyayam_Ketkirom"
"179","Kangana Ranaut","","","23-03-1987",Na,"","Rajjo,Queen_(film),Tanu_Weds_Manu:_Season_2,Ungli_The_Film,Katti_Batti,Rangoon_Movie"
"180","Kanika (actress)","","Divya Venkatasubramaniam","3/7/1982",Na,"TV anchor","Spirit_(2012_film),To_Noora_with_Love,Cobra_(2012_film),Annavru_(2003_film),Dancer_(2005_film),Five_Star_(film),Autograph_(2004_film),My_Big_Father,Drona_2010,Naa_Autograph,How_Old_Are_You%3F_(film),Mylanchi_Monchulla_Veedu"
"181","Karan (actor)","","Raghu Kesavan","19-08-1969",Na,"","Alli_Arjuna,Nammavar,Thee_Nagar,Kokki_(film),Kannupada_Poguthaiya,Raman_Abdullah,Sooran_(film),Kaalamellam_Kaathiruppen,Sonnal_Thaan_Kaadhala,Ina_(film),Kathavarayan,Neelagiri_(film),Irandu_Mugam,Budget_Padmanabhan,Ilaiyavan,Kunguma_Pottu_Gounder,Paarvai_Ondre_Podhume,Thambi_Vettothi_Sundaram,Kottai_Mariamman,Nageswari,Sri_Bannari_Amman,Swami_Ayyappan_(1975_film),Karuppusamy_Kuththagaithaarar,Kaadhal_Mannan,Kadhal_Kottai,Gokulathil_Seethai,Rajakali_Amman,Thirunelveli_(film),Unnai_Thedi,Arasatchi,Vallarasu,Kangalin_Vaarthaigal,Kannedhirey_Thondrinal,Malayan_(film),Mridula_(film),Kuyiline_Thedi,Kaduva_Thoma"
"182","Karisma Kapoor","","Karishma Kapoor","25-06-1974",Na,"Actress,Businesswoman","Dulhan_Hum_Le_Jayenge,Mere_Jeevan_Saathi_(2006_film),Hero_No._1,Saajan_Chale_Sasural,Ek_Rishtaa:_The_Bond_of_Love,Judwaa,Chal_Mere_Bhai,Jeet_(1996_film),Dil_To_Pagal_Hai,Raja_Hindustani,Dangerous_Ishhq,Haseena_Maan_Jaayegi,Karishma_–_The_Miracles_of_Destiny,Fiza,Mrityudata,Zamaanat,Rakshak,Haan_Maine_Bhi_Pyaar_Kiya,Ajay_(1996_film),Anari_(1993_film),Baaz:_A_Bird_in_Danger,Shikari_(2000_film),Silsila_Hai_Pyar_Ka,Biwi_No.1,Zubeidaa,Nishchaiy,Andaz_Apna_Apna,Raja_Babu_(film),Jaanwar_(1999_film),Shakti:_The_Power,Jigar,Jaagruti,Sapoot,Karishma_%E2%80%93_The_Miracles_of_Destiny,Hum_Saath-Saath_Hain,Coolie_No._1_(1995_film)"
"183","Karpaga","","","",Na,"","NA,"
"184","Karthi","","Karthik Sivakumar","25-05-1977",Na,"","Alex_Pandian,Madras_(film),Komban,Saguni,Aayirathil_Oruvan_(2010_film),Biriyani_(film),Paruthiveeran,All_in_All_Azhagu_Raja,Kashmora,Untitled_Vamsi_Paidipally_project"
"185","Karthik (actor)","","Murali Karthikeyan","13-09-1960",Na,"Film actor,Playback singer","Nallavanuku_Nallavan,Varusham_Padhinaaru,Apoorva_Sahodarigal,Maga_Rayudu,Raja_Mariyadhai,Vanna_Kanavugal,Vigneshwar,Anantha_Poongatre,Game_(2002_film),Lucky_Man_(film),Valibamey_Vaa_Vaa,Anegan,Ullam_Kollai_Poguthae,Kuberan_(2000_film),Mettukudi,Thotta_Chinungi,Oomai_Vizhigal,Sandhitha_Velai,Thai_Poranthachu,Gokulathil_Seethai,Rojavanam,Ninaivellam_Nithya,Nadodi_Thendral,Agaya_Gangai_(film),Ilanjodigal,Pakkathu_Veetu_Roja,Gopura_Vasalile,Chinna_Raja,Kan_Simittum_Neram,Ponnumani,Pooveli,Seeman_(film),Neram_Vandhachu,Sishya_(film),Solaikuyil,Dhooram_Adhighamillai,Adhisayappiravigal"
"186","Karthik Kumar","","","21-11-1977",Na,"","Kanda_Naal_Mudhal,Poi_Solla_Porom,Yaaradi_Nee_Mohini,Edhuvum_Nadakkum,Veppam,Ninaithale_Inikkum_(2009_film),Haiku_(2015_film)"
"187","Karthika (actress)","","Sunantha","",Na,"Actress","Adiverukal,Ente_Entethu_Mathrem,Manicheppu_Thurannappol,Menicheppu_Thurannappol"
"188","Karthika Adaikalam","","Karthika Adaikalam","",Na,"","Raman_Thediya_Seethai,Thairiyam,Thoothukudi_(film),Madurai_Sambavam"
"189","Karthika Mathew","","Lidiya Jacob","",Na,"","Nam_Naadu_(2007_film),Aparichithan,Kattuchembakam,Palaivana_Solai_(2009_film),Janmam"
"190","Karunas","","Karunanidhi","21-02-1970",Na,"","April_Maadhathil,Pori_(film),Vasool_Raja_MBBS,Thagapansamy,Thirumalai,Madurai_Veeran_(film),Pudhukottaiyilirundhu_Saravanan,Vallamai_Tharayo,Dindigul_Sarathy,Vedha,Machan_(2013_film),Pudhiya_Geethai,Bala_(2002_film),Puli_Varudhu,Sadhu_Miranda,Devathayai_Kanden,Idhu_Kadhal_Varum_Paruvam,Jaya_(film),Prathi_Gnayiru_9.30_to_10.00,Sudesi,Varnajalam,Ragalaipuram,Yaaradi_Nee_Mohini,Kasethan_Kadavulada_(2011_film),Chandhamama,Baba_(2002_film),Iyarkai,Kattradhu_Thamizh,Netru_Indru_Naalai,Dhanam_(2008_film),Arputha_Theevu,Polladhavan_(2007_film),Rameswaram_(film),Aathi_Narayana,Arumugam_(film),Kuththu,Maasilamani,Kazhugu_(2012_film),Darling_(2015_film),Panchamirtham_(film),Graghanam"
"191","Karunas","","Karunanidhi","21-02-1970",Na,"","April_Maadhathil,Pori_(film),Vasool_Raja_MBBS,Thagapansamy,Thirumalai,Madurai_Veeran_(film),Pudhukottaiyilirundhu_Saravanan,Vallamai_Tharayo,Dindigul_Sarathy,Vedha,Machan_(2013_film),Pudhiya_Geethai,Bala_(2002_film),Puli_Varudhu,Sadhu_Miranda,Devathayai_Kanden,Idhu_Kadhal_Varum_Paruvam,Jaya_(film),Prathi_Gnayiru_9.30_to_10.00,Sudesi,Varnajalam,Ragalaipuram,Yaaradi_Nee_Mohini,Kasethan_Kadavulada_(2011_film),Chandhamama,Baba_(2002_film),Iyarkai,Kattradhu_Thamizh,Netru_Indru_Naalai,Dhanam_(2008_film),Arputha_Theevu,Polladhavan_(2007_film),Rameswaram_(film),Aathi_Narayana,Arumugam_(film),Kuththu,Maasilamani,Kazhugu_(2012_film),Darling_(2015_film),Panchamirtham_(film),Graghanam"
"192","Kasthuri (actress)","","","",Na,"Film actress","Sedin_Dujone,Kaadhal_Kavithai,Thendral_Varum_Theru,Thutta_Mutta,Annamayya_(film),Malai_Malai,Pass_Mark,Chilakkottudu,Pudhiya_Mugam,Akasa_Veedhilo,Amaidhi_Padai,Mangalya_Pallakku_(film),Merupu,Senthamizh_Paattu,Panchapaandavar,Sneham_(1998_film),Watchman_Vadivel,Raja_Pandi"
"193","Kausalya (actress)","","Kavitha Shivashankar","30-12-1979",Na,"","Kutty_(2001_film),Thirumalai,Devan_(film),Nerrukku_Ner,Eazhaiyin_Sirippil,Ilaiyavan,James_Pandu,Unnudan,Kuberan_(2000_film),Maanikyan,Sandhitha_Velai,Thai_Poranthachu,Kaalamellam_Kadhal_Vaazhga,Sollamale,Jolly_(film),Lelam,Rajakali_Amman,Manadhai_Thirudivittai,Aasaiyil_Oru_Kaditham,Ayal_Kadha_Ezhuthukayanu,Pooveli,Alludugaaru_Vachcharu,April_19_(film),Akka_(TV_series)"
"194","Kaveri","","","",Na,"","Traffic_(2014_film),Pennin_Manathai_Thottu,Guru_(1997_film)"
"195","Kavya Madhavan","","Kavya Madhavan","19-09-1984",Na,"","En_Mana_Vaanil,Ee_Pattanathil_Bhootham,Annorikkal,Madampi,China_Town_(2011_film),Khaddama,Naalu_Pennungal,Sadhu_Miranda,Dhosth_(2001_Malayalam_film),Venicile_Vyapari,Aparichithan,Chandranudikkunna_Dikhil,Pulival_Kalyanam,Seelabathi,Bavuttiyude_Namathil,5_Sundarikal,Darling_Darling_(2000_film),Sadanandante_Samayam,Valayar_Paramasivam,Gaurisankaram,Mizhi_Randilum,Rakshasa_Rajavu,Bhakthajanangalude_Sradhakku,Anandabhadram,Banaras_(2009_film),Kilukkam_Kilukilukkam,Vadakkumnadhan,Vaasthavam,Lion_(2006_film)"
"196","Keerthi Chawla","","Keerthi Chawla","",Na,"","Uliyin_Osai,Mahesh,_Saranya_Matrum_Palar,Suryaa_(film),Nayagan_(2008_film),Aalwar,Aanai"
"197","Keerthi Reddy","","","",Na,"","Super_Star_(2002_film),Nandhini_(film),Ravoyi_Chandamama,Jolly_(film),Devathai,Ninaivirukkum_Varai,Tholi_Prema"
"198","Keerthy Suresh","","","",Na,"","NA,"
"199","Kelly Dorji","","","",Na,"Actor,Model (person)","Baadshah_(2013_film),Power_(2014_Kannada_film),Ambareesha"
"200","Kiran Rathod","","","11/1/1981",Na,"","Parasuram_(2003_film),Arasu_(2003_film),Villain_(2002_film),Chinna_(2005_film),Thimiru,Diwan_(film),Idhu_Kadhal_Varum_Paruvam,Winner_(film),Souten:_The_Other_Woman,Bhagyalakshmi_Bumper_Draw,Thennavan,Manushyamrugam,Anbe_Sivam"
"201","Kirat Bhattal","","","",Na,"","Durai_(film),Vattaram"
"202","Kishore (actor)","","","14-08-1974",Na,"","Aadukalam,Silambattam_(film),Thoranai,Vennila_Kabadi_Kuzhu,Ulidavaru_Kandanthe,Vana_Yuddham,Jatta_(film),Kallarali_Hoovagi,Thiruvambadi_Thamban,Attahasa,Muthirai,Dalam,Polladhavan_(2007_film),Jayamkondaan,Vamsam,Haridas_(2013_film),Yatchan,Ambi_(film),Vascodigama"
"203","Komal Sharma","","","",Na,"","NA,"
"204","Kota Srinivasa Rao","","","",Na,"","Odipolama,Bujjigadu,Kokki_(film),Bommana_Brothers_Chandana_Sisters,Sri_Ramulayya,Shubhalagnam,Munna_(film),Pratighatana,Anaganaga_Oka_Roju,Krishnam_Vande_Jagadgurum,Pape_Naa_Pranam,Yogi_(2007_film),Sadhu_Miranda,Gajibiji,Maha_Nandi,Hero_(2008_film),Bhajantrilu,Hungama_(2005_film),Hare_Ram,Jaganmohini_(2009_film),Alluda_Majaka,Athidhi_(film),Adivishnu,Bhavani_IPS,Satyam_(2003_film),Yamudiki_Mogudu,Bahumati,Little_Soldiers,Yamaleela,Laadam,Kick_(2009_film),Ambasamudram_Ambani,Maa_Nannaki_Pelli,Seetharamaiah_Gari_Manavaralu,Dhanam_(2008_film),Bommarillu,All_the_Best_(film),Money_(1993_film),The_Train_(2011_film),Chitram_Bhalare_Vichitram,Kuththu,Kathi_Kantha_Rao,Sakutumba_Saparivaara_Sametam,Big_Boss_(film),Satyam_(2008_film),Hands_Up!_(short),Rakta_Charitra,Alibaba_Aradajanu_Dongalu"
"205","Kovai Sarala","","","7/4/1962",Na,"","Sahadevan_Mahadevan,Sathi_Leelavathi_(1995_film),Kanave_Kalaiyadhe,Muni_2:_Kanchana,Vasantha_Vaasal,Amma_Pillai,Gangai_Karai_Paattu,Pondatti_Rajyam,Budget_Padmanabhan,Kandha_Kadamba_Kathir_Vela,Maayi,Mitta_Miraasu,En_Kadhal_Kanmani,Japanil_Kalyanaraman,Kovai_Brothers,Bhagyalakshmi_Bumper_Draw,A_Aa_E_Ee_(2009_Telugu_film),Doubles_(2000_film),Adhisaya_Manithan,Rettai_Vaalu,Kanchana_2,Jagadamba_(film),Selvi_(film)"
"206","Kreshna","","Krishna Kulasekaran","",Na,"Actor","Vanmam,Yaamirukka_Bayamey,Yatchan,Graghanam"
"207","Krishna Kumar (actor)","","","",Na,"News presenter,Film actor","A.K.G._(film),Swapna_Halliyil_Orunaal,Aabharanacharthu"
"208","Kunal (actor)","7/2/2008","Kunal Singh","",Na,"","Arputham,Devathayai_Kanden,Paarvai_Ondre_Podhume,Pesadha_Kannum_Pesume,Varushamellam_Vasantham,Kadhalar_Dhinam"
"209","Kushboo","","Nakhat Khan","29-09-1970",Na,"","Dharmathin_Thalaivan,Chinna_Vathiyar,Yamadonga,Vetri_Vizha,Varusham_Padhinaaru,Naanum_Indha_Ooruthan,Vigneshwar,Yaadhavam,Vinnukum_Mannukum,Chinna_Thambi,Bramma,Rickshaw_Mama,Muthukulikka_Vaariyala,Purusha_Lakshanam,Puratchikkaaran,Vetrivel_Sakthivel,Thulli_Thirintha_Kaalam,Manaivikku_Mariyadhai,Veera_Thalattu,Anjada_Gandu,Navarasa_(film),Nattamai,Ilaignan,Simmarasi,June_R,Ranadheera,Simmasanam,Minsara_Kanna,Singaravelan,The_Burning_Train,Dharma_Seelan,Captain_Nagarjun,Nattukku_Oru_Nallavan,Pazhani_(film),Michael_Madana_Kama_Rajan,Kudumba_Sangili,Paartha_Gnabagam_Illayo,Enkitta_Mothathe,Kaliyuga_Bheema,Onti_Salaga,Palegara,Padicha_Pulla,Uthama_Raasa,Thedi_Vandha_Raasa,Prathap_(1993_film),Kalki_(TV_series),Vegam_(2007_film),Paattukku_Naan_Adimai,Periyar_(2007_film),Premagni,Naalaya_Seidhi"
"210","Laila Mehdin","","","24-10-1980",Na,"Actress","Parthen_Rasithen,Ullam_Ketkumae,Kanda_Naal_Mudhal,Nandha,Thandege_Thakka_Maga,Egire_Paavurama,Alli_Thandha_Vaanam,Jaisurya,Kamarasu,Mr_&_Mrs_Sailaja_Krishnamurthy,Pellichesukundam,Kallazhagar,Love_Story_1999,Dhill,Unnai_Ninaithu,Rojavanam,Three_Roses,Insan,Gambeeram,Pavitra_Prema,Dushman_Duniya_Ka,Mahasamudram"
