"","title","dod","name","born","awards","Occupation","Filmography"
"15","Amala (actress)","","Amala Mukherjee","",Na,"Actress,Social activist,Chairperson","Vedham_Pudhithu,Kodi_Parakuthu,Velaikaran,Mella_Thirandhathu_Kadhavu,Nirnayam_(1991_film),Sathya_(film),Vetri_Vizha,Idhu_Oru_Thodar_Kathai,Kootu_Puzhukkal,Ulladakkam,Raktha_Tilakam,Kab_Tak_Chup_Rahungi,Illam_(film),Bannada_Gejje,Ente_Sooryaputhrikku,Raja_Vikramarka,Mythili_Ennai_Kaathali,Kaliyugam_(1988_film),Karpoora_Mullai,Shiva_(1990_film),Dost_(1989_film),Mounam_Sammadham,Siva_(1989_Telugu_film),Kirai_Dada,Agni_Natchathiram,Pushpaka_Vimana_(film),Nalaya_Manithan,Aggiramudu,Kavithai_Paada_Neramillai,Chinna_Babu"
"16","Amala Paul","","","26-10-1990",Na,"","Run_Baby_Run_(2012_film),Naayak,Mynaa,Sindhu_Samaveli,Akasathinte_Niram,Bejawada_(film),Velaiyilla_Pattathari,Kadhalil_Sodhappuvadhu_Yeppadi,Janda_Pai_Kapiraju,Ithu_Nammude_Katha,Muppozhudhum_Un_Karpanaigal,Lailaa_O_Lailaa,Iddarammayilatho,Veerasekaran,Vettai,Oru_Indian_Pranayakadha,Mili_(2014_film),Mili_(2015_film)"
"17","Ambika (actress)","","","16-11-1962",Na,"","Anbulla_Rajinikanth,Maaveeran,Mr._Bharath,Naan_Sigappu_Manithan_(1985_film),Padikkadavan_(1985_film),Dravidan_(1989_film),Idaya_Kovil,Kadhal_Parisu,Naanum_Oru_Thozhilali,Sakalakala_Vallavan,Uyarndha_Ullam,Swathi_Thirunal_(film),Isai_Paadum_Thendral,Ivargal_Varungala_Thoongal,Nerupukkul_Eeram,Collector_(film),Mazhai,Arthamulla_Aasaigal,Aval_Potta_Kolam,Pooviriyum_Pulari,Vikram_(1986_Tamil_film),Makkal_En_Pakkam,Dooram_Arike,Thazhuvatha_Kaigal,Theerpugal_Thiruththapadalam,Irupatham_Noottandu,Rajavinte_Makan,Neelathamara_(1979_film),Chekkaeran_Oru_Chilla,Eradu_Nakshatragalu,Antha_Ezhu_Naatkal,Chalisuva_Modagalu,Kalki_(1984_film),Kadal_Meengal,Aalappirandhavan,Mariyadhai,Kudumbapuranam,Kan_Simittum_Neram,Ambigai_Neril_Vanthaal,En_Selvame,Veeran_Veluthambi,Olangal,Pattanapravesham,Thanthonni,Apoorva_Sangama,Jeevana_Jyothi_(1987_film),Anuraagakkodathi,Enikku_Vishakunnu,Chekkeranoru_Chilla,Asambhava,Athiratha_Maharatha,Digvijaya,Hongkongnalli_Agent_Amar,Indina_Bharatha,Janumadatha,Vellai_Roja,Thambathyam,Velundu_Vinaiyillai,Hasida_Hebbuli,Garuda_Rekhe,Gayathri_Maduve,Prema_Geethangal,Enne_Snehikkoo_Enne_Maathram,Samayamaayilla_Polum,Agniparvatham,Naagam_(1985_film),Seetha_(1980_film),Naane_Raja_(1984_film),Nizhal_Moodiya_Nirangal,Avala_Neralu,Eettappuli,Asthi,Archana_Aaradhana,Malarum_Kiliyum,Jothi_(1983_film),Kaavalmaadam,Ayitham,Mooru_Janma,Vazhiyorakazchakal,Nirabhedhangal,Maniyan_Pilla_Adhava_Maniyan_Pilla,Vaiki_Vanna_Vasantham,Veerabhadran,Swarangal_Swapnagal,Muthukkal_Moondru,Shubha_Milana,Seetha_(film),Ezhuthapurangal,Guha_(film),Karpoora_Deepam,Raajaveedhi,Naan_Paadum_Paadal,Sakkalaththi,Njan_Ninne_Marakkilla,Iniyum_Kadha_Thudarum,Lajjaavathi,Aadyathe_Anuraagam,Moonnu_Masangalku_Mumbu,Ammayum_Makalum,Mupperum_Deviyar,Neeyo_Njaano,Puthiya_Theerppu,Vaazhkai_(film)"
"18","Ameesha Patel","","Amisha Amit Patel","9/6/1975",Na,"","Aap_Ki_Khatir_(2006_film),Bhool_Bhulaiyaa,Suno_Sasurjee,Pudhiya_Geethai,Mangal_Pandey:_The_Rising,Run_Bhola_Run,Chatur_Singh_Two_Star,Power_(2013_film),Race_2,Kranti_(2002_film),Thoda_Pyaar_Thoda_Magic,Ankahee_(2006_film),Shortcut_Romeo,Desi_Magic,Kaho_Naa..._Pyaar_Hai,Yeh_Zindagi_Ka_Safar,Bhaiyyaji_Superhitt"
"19","Amy Jackson","","Amy Louise Jackson","31-01-1992",Na,"Actress,Model (person)","Madrasapattinam,I_(film),Singh_Is_Bling,Ekk_Deewana_Tha,Yevadu,Untitled_Velraj_Project"
"20","Ananya (actress)","","Ayilya Gopalakrishnan Nair","29-03-1987",Na,"","Masters_(film),Kandahar_(2010_film),Doctor_Love_(film),Kunjaliyan,Athithi_(2014_film),The_Reporter_(film),Fiddle_(film),Shikkar,Gokula_Krishna,Pulivaal,Seedan,Ithu_Nammude_Katha,D_Company_(film),Engaeyum_Eppothum,Ameya,Rahasya_Police,Oru_Small_Family,Naadodigal,Raktharakshassu_3D,100_Degree_Celsius,Urumbukal_Urangarilla"
"21","Andrea Jeremiah","","Andrea Jeremiah","21-12-1985",Na,"Actress,Singer,Musician,Voice Actress,Dancer","Vishwaroopam_II,London_Bridge_(film),Aranmanai,Taramani_(film),Uttama_Villain,Aayirathil_Oruvan_(2010_film),Puthiya_Thiruppangal,Tadakha,Mankatha,Vishwaroopam,Pachaikili_Muthucharam,Valiyavan"
"22","Anita Hassanandani Reddy","","Anita Hassanandani","",Na,"","Varushamellam_Vasantham"
"23","Anjala Zaveri","","","20-04-1972",Na,"","Devi_Putrudu,Himalay_Putra,Ullam_Kollai_Poguthae,Betaabi,Dubai_(2001_film),Preminchukundam_Raa,Choodalani_Vundi,Pyaar_Kiya_To_Darna_Kya_(1998_film)"
"24","Anjali (actress born 1986)","","Anjali","11/9/1986",Na,"","Masala_(2013_film),Aayudham_Seivom,Maharaja_(2011_film),Settai,Geethanjali_(2014_film),Karungali,Seethamma_Vakitlo_Sirimalle_Chettu,Thambi_Vettothi_Sundaram,Kalakalappu,Balupu,Kattradhu_Thamizh,Thoonga_Nagaram,Mankatha,Engaeyum_Eppothum,Madha_Gaja_Raja,Angadi_Theru,Rana_Vikrama,Mapla_Singam,Appa_Takkaru,Iraivi"
