"x"
"Bhumika_Chawla"
"Hansika_Motwani"
"Mallika_(actress)"
"Mallika_Kapoor"
"Priyamani"
"Shubha_(actress)"
"Shweta_Menon"
"Sonali_Kulkarni"
"Sudha_(actress)"
"Swati_Reddy"
"Bindu_Madhavi"
"Ramya_Raj"
"Ramya_Sri"
"Sanchita_Padukone"
"Sanchita_Shetty"
"Shammu"
"Neetu_Chandra"
"Poonam_Bajwa"
"Poonam_Kaur"
"Sheela"
"Sindhu_Menon"
"Sindhu_Tolani"
"Tanvi_Hegde"
"Tanvi_Vyas"
"Veda_Sastry"
"Bhavya"
"Sona_Heiden"
"Raadhika_Sarathkumar"
"Meenal"
"Varsha_Ashwathi"
"Roopa_(actress)"
"Parvathi_(actress)"
"Anupama_Kumar"
"Sonia_(actress)"
"Amala_(actress)"
"Archana_(actress)"
"Asin"
"Kutty_Padmini"
"Padmini_(actress)"
"Abhirami_(actress)"
"Bhama"
"Vishakha_Singh"
"Sangeetha_(actress)"
"Shruti_Haasan"
"Vadivukkarasi"
"Anju_Aravind"
"Aditi_Rao_Hydari"
"Amala_Paul"
"Abitha"
"Kasthuri_(actress)"
"Urvashi_(actress)"
"Roja_Ramani"
"Gowri_Munjal"
"Chandra_Lakshman"
"Madhoo"
"Reemma_Sen"
"Sameera_Reddy"
"Piaa_Bajpai"
"Sanjjanaa"
"Suma_Bhattacharya"
"Lalitha_(actress)"
"Mumaith_Khan"
"Radha_Saluja"
"Vijayashanti"
"Meera_Chopra"
"Vidyullekha_Raman"
"Kitu_Gidwani"
"Kamna_Jethmalani"
"Rathi_(actress)"
"Nanditha_Bose"
"Tara_(Kannada_actress)"
"Muktha_(actress)"
"Shafna"
"Tanu_Roy"
"Manjari_Phadnis"
"Kanchan_(actress)"
"Nithya_Menen"
"Rima_Kallingal"
"Urmila_Mahanta"
"Saranya_Mohan"
"Tabu_(actress)"
"Sushmita_Sen"
"Esha_Deol"
"Vasundhara_Das"
"Daisy_Bopanna"
"Pooja_Umashankar"
"Farheen"
"K._P._A._C._Lalitha"
"Poornima_Bhagyaraj"
"Viji"
"Vanitha_Krishnachandran"
"Poornima_Indrajith"
"Mrudula_Murali"
"Anuradha_(actress)"
"Arundhati_(actress)"
"Roma_Asrani"
"Shakeela"
"Shamna_Kasim"
"Shazahn_Padamsee"
"Sriya_Reddy"
"Sunaina"
"Nandita_Das"
"Divya_Bharti"
"Isha_Koppikar"
"Nayantara"
"Neelima_Rani"
"Dhansika"
"Nikita_Thukral"
"Niveda_Thomas"
"Zarina_Wahab"
"Dhanya_Mary_Varghese"
"Nisha_Agarwal"
"Sharadini_Karen_Gounden"
"Haripriya"
"Iniya"
"Sujatha_(actress)"
"Vijaya_Lalitha"
"Honey_Rose"
"Sabitha_Anand"
"Vithika_Sheru"
"Nandita"
"Maathu"
"Abhinayashree"
"Prameela"
"Rajasree"
"Sivaranjani_(actress)"
"Aishwarya_(actress)"
"Karthika_Mathew"
"Rani_Chandra"
"Rati_Agnihotri"
"Anju_(actress)"
"Bhavana_(actress)"
"Sonali_Bendre"
"Jayalalithaa"
"Kamalinee_Mukherjee"
"Manjula_Vijayakumar"
"Ragini_Dwivedi"
"Rajasulochana"
"Sadha"
"Savitri_(actress)"
"Sharbani_Mukherjee"
